Cast,Country,Date Added,Description,Director,Duration (In minutes),Genre,Month Added,Rating,Release Year,Seasons,Show Id,Title,Type,Year,Number of Records
"Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China",9/9/2019 12:00:00 AM,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.","Richard Finn, Tim Maltby",90,"Children & Family Movies, Comedies",9,TV-PG,2019,,81145628,Norm of the North: King Sized Adventure,Movie,2019,1
Jandino Asporaat,United Kingdom,9/9/2016 12:00:00 AM,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",,94,Stand-Up Comedy,9,TV-MA,2016,,80117401,Jandino: Whatever it Takes,Movie,2016,1
"Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle",United States,9/8/2018 12:00:00 AM,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.",,,Kids' TV,9,TV-Y7-FV,2013,1,70234439,Transformers Prime,TV Show,2018,1
"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen",United States,9/8/2018 12:00:00 AM,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.",,,Kids' TV,9,TV-Y7,2016,1,80058654,Transformers: Robots in Disguise,TV Show,2018,1
"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,9/8/2017 12:00:00 AM,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",Fernando Lebrija,99,Comedies,9,TV-14,2017,,80125979,#realityhigh,Movie,2017,1
"Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac",Spain,9/8/2017 12:00:00 AM,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,,,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",9,TV-MA,2016,1,80163890,Apaches,TV Show,2017,1
"Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall","Bulgaria, United States, Spain, Canada",9/8/2017 12:00:00 AM,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",Gabe Ibáñez,110,"International Movies, Sci-Fi & Fantasy, Thrillers",9,R,2014,,70304989,Automata,Movie,2017,1
Fabrizio Copano,Chile,9/8/2017 12:00:00 AM,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.","Rodrigo Toro, Francisco Schultz",60,Stand-Up Comedy,9,TV-MA,2017,,80164077,Fabrizio Copano: Solo pienso en mi,Movie,2017,1
,United States,9/8/2017 12:00:00 AM,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",,,"Docuseries, Science & Nature TV",9,TV-MA,2017,1,80117902,Fire Chasers,TV Show,2017,1
"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","United States, United Kingdom, Denmark, Sweden",9/8/2017 12:00:00 AM,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,Henrik Ruben Genz,90,"Action & Adventure, Thrillers",9,R,2014,,70304990,Good People,Movie,2017,1
Joaquín Reyes,,9/8/2017 12:00:00 AM,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",José Miguel Contreras,78,Stand-Up Comedy,9,TV-MA,2017,,80169755,Joaquín Reyes: Una y no más,Movie,2017,1
"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States",9/8/2017 12:00:00 AM,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",Daniel Alfredson,95,"Action & Adventure, Dramas, International Movies",9,R,2015,,70299204,Kidnapping Mr. Heineken,Movie,2017,1
"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,9/8/2017 12:00:00 AM,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.",,58,Children & Family Movies,9,TV-Y7,2009,,80182480,Krish Trish and Baltiboy,Movie,2017,1
"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra",,9/8/2017 12:00:00 AM,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.","Munjal Shroff, Tilak Shetty",62,Children & Family Movies,9,TV-Y7,2013,,80182483,Krish Trish and Baltiboy: Battle of Wits,Movie,2017,1
"Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra",,9/8/2017 12:00:00 AM,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.","Munjal Shroff, Tilak Shetty",65,Children & Family Movies,9,TV-Y,2016,,80182596,Krish Trish and Baltiboy: Best Friends Forever,Movie,2017,1
"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,9/8/2017 12:00:00 AM,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",Tilak Shetty,61,Children & Family Movies,9,TV-Y7,2012,,80182482,Krish Trish and Baltiboy: Comics of India,Movie,2017,1
"Rishi Gambhir, Smita Malhotra, Deepak Chachra",,9/8/2017 12:00:00 AM,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.",Tilak Shetty,65,Children & Family Movies,9,TV-Y7,2017,,80182597,Krish Trish and Baltiboy: Oversmartness Never Pays,Movie,2017,1
"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,9/8/2017 12:00:00 AM,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",,58,Children & Family Movies,9,TV-Y7,2010,,80182481,Krish Trish and Baltiboy: Part II,Movie,2017,1
"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,9/8/2017 12:00:00 AM,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.","Munjal Shroff, Tilak Shetty",60,Children & Family Movies,9,TV-Y7,2013,,80182621,Krish Trish and Baltiboy: The Greatest Trick,Movie,2017,1
"Karl Glusman, Klara Kristin, Aomi Muyock, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy","France, Belgium",9/8/2017 12:00:00 AM,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,Gaspar Noé,135,"Cult Movies, Dramas, Independent Movies",9,NR,2015,,80057969,Love,Movie,2017,1
"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",United States,9/8/2017 12:00:00 AM,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,Tom O'Brien,98,"Comedies, Independent Movies, Romantic Movies",9,TV-14,2014,,80060297,Manhattan Romance,Movie,2017,1
"Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte","France, Belgium",9/8/2017 12:00:00 AM,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",Antoine Bardou-Jacquet,96,"Action & Adventure, Comedies, International Movies",9,R,2015,,80046728,Moonwalkers,Movie,2017,1
,"United States, Uruguay",9/8/2017 12:00:00 AM,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",Mitch Dickman,79,Documentaries,9,TV-MA,2015,,80046727,Rolling Papers,Movie,2017,1
"Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley",United States,9/8/2017 12:00:00 AM,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",Brad Anderson,113,"Horror Movies, Thrillers",9,PG-13,2014,,70304988,Stonehearst Asylum,Movie,2017,1
"Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier",United States,9/8/2017 12:00:00 AM,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,Austin Stark,90,"Dramas, Independent Movies",9,R,2015,,80057700,The Runner,Movie,2017,1
"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",United States,9/8/2015 12:00:00 AM,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",Hannah Fidell,80,"Dramas, Independent Movies, Romantic Movies",9,NR,2015,,80045922,6 Years,Movie,2015,1
"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",,9/7/2018 12:00:00 AM,"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",,,"International TV Shows, Romantic TV Shows, TV Comedies",9,TV-14,2015,1,80244601,Castle of Stars,TV Show,2018,1
,"United States,",9/7/2018 12:00:00 AM,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",Madeleine Gavin,77,Documentaries,9,TV-MA,2018,,80203094,City of Joy,Movie,2018,1
,,9/7/2018 12:00:00 AM,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,,,Docuseries,9,TV-MA,2018,1,80190843,First and Last,TV Show,2018,1
"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit",Thailand,9/7/2018 12:00:00 AM,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",Sopon Sukdapisit,112,"Horror Movies, International Movies",9,TV-MA,2011,,70241607,Laddaland,Movie,2018,1
"John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu","China, Canada, United States",9/7/2018 12:00:00 AM,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.","Kevin R. Adams, Joe Ksander",106,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",9,TV-PG,2018,,80988892,Next Gen,Movie,2018,1
"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz",United States,9/7/2018 12:00:00 AM,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,Ian Samuels,106,"Comedies, Romantic Movies",9,PG-13,2018,,80239639,Sierra Burgess Is A Loser,Movie,2018,1
"Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé","Belgium, United Kingdom, United States",9/7/2018 12:00:00 AM,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",Franck Ribière,102,"Dramas, International Movies, Thrillers",9,TV-MA,2018,,80159586,The Most Assassinated Woman in the World,Movie,2018,1
"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker","Belgium, France",9/7/2017 12:00:00 AM,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",Daniele Thompson,114,"Dramas, Independent Movies, International Movies",9,R,2016,,80152447,Cézanne et moi,Movie,2017,1
"Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren",,9/6/2019 12:00:00 AM,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",,,"Kids' TV, TV Comedies",9,TV-Y7,2019,1,80221550,Archibald's Next Big Thing,TV Show,2019,1
"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",India,9/6/2019 12:00:00 AM,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,Anubhav Sinha,125,"Dramas, International Movies, Thrillers",9,TV-MA,2019,,81154455,Article 15,Movie,2019,1
"Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri",,9/6/2019 12:00:00 AM,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",Maha Venkatesh,142,"Comedies, Dramas, Independent Movies",9,TV-14,2018,,81113928,Care of Kancharapalem,Movie,2019,1
"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary",India,9/6/2019 12:00:00 AM,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",Tharun Bhascker,133,"Comedies, International Movies",9,TV-14,2018,,81052275,Ee Nagaraniki Emaindi,Movie,2019,1
"Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu",,9/6/2019 12:00:00 AM,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",Şenol Sönmez,100,"Comedies, International Movies, Romantic Movies",9,TV-14,2019,,81132437,Kill Me If You Dare,Movie,2019,1
"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes",France,9/6/2019 12:00:00 AM,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",,,"International TV Shows, TV Dramas, TV Thrillers",9,TV-MA,2019,1,80178151,The Spy,TV Show,2019,1
"Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford",United States,9/6/2018 12:00:00 AM,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.","Tom Gianas, Ross R. Shuman",86,"Action & Adventure, Comedies, Independent Movies",9,R,2015,,80058026,Hell and Back,Movie,2018,1
"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",India,9/6/2018 12:00:00 AM,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,Rajkumar Hirani,146,"Comedies, Dramas, International Movies",9,TV-14,2014,,70303496,PK,Movie,2018,1
"Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark, Kat Gellin, Andy Lucas, Ralph Brown, Beverly Hills",United Kingdom,9/6/2017 12:00:00 AM,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,"Robert Osman, Nathanael Wiseman",79,"Dramas, Independent Movies",9,TV-MA,2015,,80162141,Hard Tide,Movie,2017,1
"Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest, Laurie Goode, Garrick Hagon, Derek Lyons, Angus MacInnes, David Prowse, Pam Rose",United Kingdom,9/6/2016 12:00:00 AM,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",Jon Spira,102,Documentaries,9,TV-PG,2015,,80095641,Elstree 1976,Movie,2016,1
"President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar",,9/5/2019 12:00:00 AM,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,,10,Documentaries,9,TV-G,2019,,81176188,American Factory: A Conversation with the Obamas,Movie,2019,1
"Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada",9/5/2018 12:00:00 AM,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",Mez Tharatorn,122,"Comedies, International Movies, Romantic Movies",9,TV-14,2012,,80159880,ATM,Movie,2018,1
"Theeradej Wongpuapan, Sirin Horwang, Ungsumalynn Sirapatsakmetha, Panissara Phimpru, Taksaorn Paksukcharern, Charlie Trairat, Kazuki Yano",Thailand,9/5/2018 12:00:00 AM,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",Adisorn Tresirikasem,126,"Comedies, International Movies, Romantic Movies",9,TV-14,2009,,81016044,Bangkok Traffic (Love) Story,Movie,2018,1
"Preechaya Pongthananikorn, Sunny Suwanmethanont, Sora Aoi, Puttachat Pongsuchat, Popetorn Soonthornyanakij",Thailand,9/5/2018 12:00:00 AM,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",Mez Tharatorn,116,"Comedies, International Movies, Romantic Movies",9,TV-14,2014,,80158838,I Fine... Thank You... Love You,Movie,2018,1
"Chantavit Dhanasevi, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Kris Srepoomseth, Somyos Matures, Sutthatip Wutichaipradit, Rermthon Kemapech, Kaz Sawamura",Thailand,9/5/2018 12:00:00 AM,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",Banjong Pisanthanakun,135,"Dramas, International Movies, Romantic Movies",9,TV-PG,2016,,81016045,One Day,Movie,2018,1
"Jirayu La-ongmanee, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Nicole Theriault, Chumphorn Thepphithak, Gacha Plienwithi, Suteerush Channukool, Peeratchai Roompol, Nattapong Chartpong",Thailand,9/5/2018 12:00:00 AM,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.","Banjong Pisanthanakun, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom, Visute Poolvoralaks",125,"Horror Movies, International Movies",9,TV-MA,2009,,70142798,Phobia 2,Movie,2018,1
"Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr",Thailand,9/5/2018 12:00:00 AM,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.","Banjong Pisanthanakun, Parkpoom Wongpoom",96,"Horror Movies, International Movies",9,TV-MA,2004,,70062814,Shutter,Movie,2018,1
"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",Thailand,9/5/2018 12:00:00 AM,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",Chayanop Boonprakob,130,"Comedies, International Movies",9,TV-MA,2011,,80158839,Suckseed,Movie,2018,1
"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges",United States,9/5/2017 12:00:00 AM,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",Susan Johnson,98,"Comedies, Dramas",9,TV-14,2016,,80147760,Carrie Pilby,Movie,2017,1
Marc Maron,United States,9/5/2017 12:00:00 AM,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",Lynn Shelton,70,Stand-Up Comedy,9,TV-MA,2017,,80177405,Marc Maron: Too Real,Movie,2017,1
"Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz",United States,9/5/2017 12:00:00 AM,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",,,"Romantic TV Shows, TV Comedies, TV Dramas",9,TV-14,2016,1,80113482,No Tomorrow,TV Show,2017,1
"Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz",Pakistan,9/4/2019 12:00:00 AM,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",Farhan Alam,128,"Dramas, Independent Movies, International Movies",9,TV-14,2016,,81160036,Saawan,Movie,2019,1
"Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond",Canada,9/4/2019 12:00:00 AM,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,Chad Archibald,88,Horror Movies,9,TV-MA,2017,,81173255,The Heretics,Movie,2019,1
"Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams",United States,9/4/2019 12:00:00 AM,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",Brian Baugh,108,"Dramas, Romantic Movies",9,PG,2019,,81078908,The World We Make,Movie,2019,1
"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth",India,9/4/2019 12:00:00 AM,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",A. L. Vijay,93,"Comedies, Dramas, International Movies",9,TV-14,2019,,81155784,Watchman,Movie,2019,1
"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee",United States,9/4/2018 12:00:00 AM,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",Ryan Coogler,135,"Action & Adventure, Sci-Fi & Fantasy",9,PG-13,2018,,80201906,Black Panther,Movie,2018,1
